Date,Open,Low,High,Close,Volume,Amount
2012-12-07 00:00:00,0.894,0.824,0.957,0.938,125284,181544200.00
2012-12-14 00:00:00,0.939,0.909,1.010,0.993,86840,131606100.00
2012-12-21 00:00:00,0.978,0.966,1.033,1.013,73955,116745300.00
2012-12-28 00:00:00,1.004,1.002,1.114,1.095,103199,172149100.00
2013-01-04 00:00:00,1.088,1.004,1.105,1.012,50021,81909790.00
2013-01-11 00:00:00,1.014,1.005,1.181,1.094,147693,254627400.00
2013-01-18 00:00:00,1.092,1.092,1.245,1.209,94533,173723500.00
2013-01-25 00:00:00,1.206,1.196,1.392,1.376,176965,353919900.00
2013-02-01 00:00:00,1.377,1.323,1.437,1.373,92002,189780300.00
2013-02-08 00:00:00,1.381,1.259,1.395,1.369,86541,173409900.00
2013-02-22 00:00:00,1.370,1.338,1.513,1.464,90080,193287600.00
2013-03-01 00:00:00,1.559,1.527,1.688,1.628,156483,370973000.00
2013-03-08 00:00:00,1.616,1.600,1.802,1.613,129852,324194800.00
2013-03-15 00:00:00,1.619,1.555,1.807,1.750,134944,330637600.00
2013-03-22 00:00:00,1.752,1.695,2.016,1.991,133954,361530400.00
2013-03-29 00:00:00,1.996,1.938,2.120,2.064,126475,372852900.00
2013-04-05 00:00:00,2.045,1.975,2.294,1.999,83144,249946800.00
2013-04-12 00:00:00,1.923,1.923,2.155,2.007,92642,274578900.00
2013-04-19 00:00:00,2.006,1.885,2.295,2.211,84378,256003100.00
2013-04-26 00:00:00,2.210,2.178,2.529,2.310,108315,368729200.00
2013-05-03 00:00:00,2.318,2.288,2.522,2.318,45293,154644800.00
2013-05-10 00:00:00,2.318,2.318,2.810,2.626,219839,803639500.00
2013-05-17 00:00:00,2.626,2.455,2.717,2.538,153215,560034300.00
2013-05-24 00:00:00,2.550,2.315,2.673,2.465,216068,765959900.00
2013-05-31 00:00:00,2.455,2.386,2.721,2.389,131453,484634000.00
2013-06-07 00:00:00,2.394,2.272,2.489,2.399,131731,450694000.00
2013-06-14 00:00:00,2.326,2.292,2.732,2.606,70923,255802400.00
2013-06-21 00:00:00,2.614,2.394,2.713,2.493,109673,402819100.00
2013-06-28 00:00:00,2.470,2.177,3.000,2.771,176702,659203300.00
2013-07-05 00:00:00,2.774,2.675,3.077,2.675,164757,674384500.00
2013-07-12 00:00:00,2.569,2.512,3.533,3.328,151198,642430600.00
2013-07-19 00:00:00,3.404,3.381,3.984,3.791,173270,902066100.00
2013-07-26 00:00:00,3.685,3.644,4.257,3.746,133385,715320000.00
2013-08-02 00:00:00,3.683,3.336,4.140,3.935,166161,858714600.00
2013-08-09 00:00:00,3.934,3.393,4.140,3.630,115092,605647900.00
2013-08-16 00:00:00,3.572,3.431,3.986,3.723,107615,555059800.00
2013-08-23 00:00:00,3.723,3.723,4.412,4.194,122408,694096000.00
2013-08-30 00:00:00,4.277,3.898,4.505,3.904,118787,689381600.00
2013-09-06 00:00:00,3.848,3.848,4.170,4.054,92936,513342300.00
2013-09-13 00:00:00,4.054,3.601,4.099,3.816,123592,643080100.00
2013-09-20 00:00:00,3.816,3.722,4.031,3.753,95215,507636800.00
2013-09-27 00:00:00,3.755,3.672,4.445,3.890,163665,911996900.00
2013-10-04 00:00:00,3.895,3.889,4.211,4.140,25571,143691600.00
2013-10-11 00:00:00,4.216,4.026,4.595,4.140,142953,836742100.00
2013-10-18 00:00:00,4.572,4.572,5.446,5.116,187489,1319394000.00
2013-10-25 00:00:00,5.204,4.784,5.857,4.838,229302,1652519000.00
2013-11-01 00:00:00,4.758,4.668,5.545,5.264,185147,1285432000.00
2013-11-08 00:00:00,5.207,4.900,5.545,5.079,135638,964662800.00
2013-11-15 00:00:00,5.065,4.800,5.498,5.393,165645,1154404000.00
2013-11-22 00:00:00,5.436,4.831,5.574,4.961,191038,1339913000.00
2013-11-29 00:00:00,4.976,4.954,6.109,5.963,197255,1456964000.00
2013-12-06 00:00:00,5.659,4.855,6.220,4.967,305145,2273685000.00
2013-12-13 00:00:00,4.976,4.967,5.621,5.418,109776,794225300.00
